index,score,p_max_avg
1,0.7463,0.368150636
2,0.8063,0.465990615
3,0.7954,0.415294601
4,0.8518,0.430045433
5,0.8035,0.456613181
6,0.8428,0.426859003
7,0.7994,0.448852725
8,0.7715,0.382184347
9,0.9075,0.382353389
10,0.8413,0.414898835
11,0.8447,0.380359086
12,0.7927,0.371481313
13,0.8362,0.413165289
14,0.9341,0.364719591
15,0.861,0.395843084
16,0.8029,0.359229741
17,0.8804,0.38737187
18,0.9337,0.424605788
19,0.8195,0.421409204
20,0.8826,0.386182597
21,0.8343,0.375667727
22,0.9253,0.403055429
23,0.9678,0.400777129
24,0.9309,0.396786144
25,0.853,0.395557348
26,0.9157,0.400458922
27,0.9027,0.371682158
28,0.9314,0.364324522
29,0.8815,0.387218182
30,0.8982,0.35055374
31,0.943,0.364781225
32,0.9792,0.358988009
33,0.9529,0.394638398
34,0.8473,0.408892675
35,0.9583,0.35953759
36,0.892,0.359064219
37,0.9023,0.362476157
38,0.9407,0.341994303
39,1.0299,0.348841963
40,0.9035,0.397219187
41,0.9014,0.387492773
42,0.9673,0.373820802
43,0.9611,0.396303799
44,1.0338,0.372745032
45,1.0977,0.358339151
46,0.9439,0.381517531
47,0.9436,0.385804978
48,0.9779,0.376080253
49,1.0289,0.364644844
50,0.9346,0.360025433
51,1.0258,0.342268413
52,1.0384,0.345527035
53,1.0691,0.399901826
54,0.9087,0.38568014
55,0.8693,0.404686032
56,0.9862,0.363742884
57,0.9418,0.361464759
58,0.8882,0.380099446
59,0.9351,0.355463228
60,0.9715,0.347112931
61,0.9212,0.359574491
62,0.971,0.347321592
63,1.0082,0.344096177
64,0.987,0.348258702
65,0.9969,0.363746578
66,0.8758,0.350852614
67,0.913,0.337814552
68,0.8395,0.375825586
69,0.9522,0.365440101
70,0.938,0.394237635
71,0.9896,0.413876614
72,0.9398,0.381156059
73,0.9614,0.367532402
74,1.0667,0.356368925
75,1.0314,0.347328323
76,0.9484,0.350445092
77,0.929,0.364290294
78,1.012,0.352763175
79,0.9487,0.380119715
80,1.057,0.363501743
81,1.0675,0.371602267
82,0.9921,0.369345901
83,1.0598,0.370096139
84,0.9758,0.371114397
85,1.0175,0.352427807
86,1.0387,0.357218879
87,0.9983,0.342119129
88,1.0518,0.335796616
89,1.1632,0.348507484
90,1.0586,0.346383838
91,1.1458,0.373188371
92,1.0723,0.369972131
93,1.1766,0.361200389
94,1.0732,0.342186174
95,1.0262,0.328642384
96,1.0529,0.319088158
97,0.892,0.343399044
98,0.9282,0.368214404
99,0.9102,0.364271968
100,0.9266,0.33951711
101,1.0082,0.349214467
102,0.9944,0.362313791
103,0.9181,0.337641848
104,0.9718,0.345495172
105,1.0039,0.339028819
106,0.9187,0.386776583
107,0.9067,0.352571676
108,1.0358,0.343021506
109,1.0389,0.329837171
110,0.9206,0.335491118
111,1.0264,0.346757247
112,0.9866,0.347504824
113,0.9406,0.343397432
114,0.9804,0.349110094
115,1.0441,0.349344201
116,0.9654,0.346210387
117,1.0159,0.341154266
118,0.9965,0.327581296
119,0.9326,0.341906362
120,0.9997,0.350311716
121,1.0293,0.361137478
122,1.0831,0.365768333
123,1.1263,0.350379585
124,1.0354,0.340199576
125,0.9848,0.336930089
126,0.957,0.343926076
127,0.9821,0.355952587
128,1.0299,0.343743464
129,1.0065,0.33801551
130,1.0687,0.326428444
131,0.9549,0.325323475
132,0.9622,0.331475632
133,0.9747,0.377880049
134,1.0202,0.347386042
135,1.0917,0.342829629
136,1.0074,0.344906433
137,0.9712,0.32523402
138,1.0981,0.343846784
139,0.977,0.328371228
140,0.9168,0.3502405
141,0.9968,0.351095777
142,1.0531,0.322258476
143,1.0526,0.321248589
144,0.9289,0.34616003
145,0.9953,0.353830839
146,1.0452,0.356934233
147,0.9357,0.35641729
148,0.9105,0.333329295
149,1.0102,0.347524586
150,1.0705,0.332576475
151,1.0133,0.338330859
152,0.9968,0.363942774
153,0.9549,0.343471732
154,1.0691,0.337807875
155,0.9685,0.337454163
156,0.9019,0.322435142
157,1.0194,0.351928903
158,0.9295,0.338879716
159,0.909767442,0.379544955
160,1.1338,0.370293749
161,1.1293,0.395624787
162,1.0458,0.381223259
163,1.0744,0.374246056
164,1.132,0.370165251
165,1.0516,0.378259203
166,0.9359,0.381233384
167,0.9264,0.390582692
168,1.0815,0.399032154
169,1.2134,0.365217578
170,1.1081,0.368083716
171,1.0816,0.367506422
172,1.0619,0.379038498
173,1.088,0.389591331
174,0.9513,0.42309174
175,0.95,0.428592171
176,0.9643,0.444909219
177,1.1103,0.427033613
178,1.18,0.386600351
179,1.2176,0.398668893
180,1.0727,0.4041121
181,0.9967,0.409835783
182,0.9803,0.440698704
183,0.8647,0.437488669
184,0.9454,0.435394343
185,0.8937,0.433554081
186,1.0359,0.43492068
187,0.9792,0.44240317
188,1.06,0.405902903
189,1.1772,0.381383549
190,1.0897,0.377375366
191,1.0191,0.380125012
192,0.9949,0.407910283
193,1.081,0.423052615
194,1.008,0.398370102
195,1.022,0.400476566
196,1.0623,0.381319074
197,1.0221,0.377144719
198,1.007,0.360074059
199,1.0843,0.375973532
200,1.0174,0.394645702
201,1.0802,0.423773482
202,1.1175,0.409166718
203,0.9201,0.408508377
204,1.0355,0.40568225
205,1.1299,0.413230458
206,1.0266,0.430271955
207,1.0805,0.396920398
208,1.0213,0.411564219
209,1.13,0.3963
210,1.1184,0.401194139
211,1.0612,0.40592353
212,1.0832,0.391857398
213,1.1244,0.368552777
