index,score,p_max_avg
1,0.956041667,0.330526714
2,1.1151,0.332146631
3,1.014,0.316998657
4,1.0929,0.32036829
5,0.9746,0.317872129
6,0.9561,0.317568779
7,1.0235,0.316210569
8,0.8583,0.30791267
9,0.9178,0.302280038
10,0.9097,0.309286488
11,1.0253,0.314990166
12,0.9339,0.316192069
13,1.0783,0.314919567
14,0.9323,0.312456845
15,0.9543,0.300783748
16,0.9502,0.31132718
17,0.8674,0.306355589
18,1.021,0.319146327
19,0.9332,0.311507062
20,0.9879,0.312378807
21,1.0618,0.318928456
22,1.1526,0.316811657
23,0.9317,0.304652339
24,0.9246,0.310004264
25,0.9975,0.310119314
26,0.9495,0.320136106
27,1.003,0.330470107
28,1.0472,0.332909399
29,1.0446,0.322940589
30,1.109,0.336980621
31,1.0927,0.341337667
32,1.1566,0.349519797
33,1.0119,0.343432792
34,1.0378,0.362280288
35,0.9893,0.351109849
36,1.1138,0.339882474
37,0.931,0.3356238
38,1.0226,0.334460545
39,0.9238,0.328409939
40,1.1205,0.328469207
41,1.0211,0.32894029
42,0.9662,0.325188125
43,1.1968,0.335182924
44,1.0844,0.331118293
45,0.9689,0.330207309
46,1.1188,0.328326917
47,0.9294,0.329229788
48,1.0254,0.337996101
49,1.0834,0.333951839
50,1.034,0.335327453
51,1.0543,0.332200912
52,0.825,0.324974919
53,1.0381,0.334903999
54,1.1283,0.332316165
55,0.9438,0.319456799
56,0.8744,0.325267962
57,1.0984,0.322872214
58,1.0177,0.319537731
59,0.9298,0.316158829
60,0.9433,0.315836205
61,0.9696,0.314292731
62,0.8784,0.317523379
63,0.93,0.319061045
64,0.9906,0.320094499
65,0.9672,0.311029138
66,0.9227,0.310825671
67,0.8329,0.306641405
68,1.0196,0.322342353
69,1.0593,0.332556948
70,0.8644,0.320977622
71,1.0436,0.320118328
72,1.0073,0.313660872
73,1.0471,0.316185727
74,0.9467,0.310659
75,1.1085,0.309586942
76,0.8604,0.315583356
77,0.9412,0.323540984
78,0.9534,0.340221781
79,1.0943,0.345533735
80,1.0794,0.331541584
81,0.9926,0.330079234
82,1.0573,0.334766943
83,1.0594,0.333790374
84,1.0317,0.337301644
85,0.9925,0.331616965
86,1.1238,0.333154574
87,1.017,0.331421694
88,1.1242,0.343308499
89,0.9871,0.345180423
90,1.1086,0.341506745
91,1.0004,0.340814878
92,0.9855,0.338429171
93,1.0091,0.325756609
94,1.056,0.326099847
95,1.0511,0.327987359
96,0.9464,0.333358553
97,1.0282,0.335776047
98,0.9897,0.341523658
99,1.0593,0.337935522
100,0.9913,0.334009094
101,1.2289,0.336761596
102,1.0438,0.331229654
103,0.9833,0.319246782
104,0.9448,0.327427681
105,0.9355,0.332299612
106,1.1069,0.335163853
107,1.0758,0.337234114
108,1.0256,0.345937446
109,1.0713,0.340071555
110,1.088,0.340709389
111,1.1767,0.334129757
112,1.0596,0.336326169
113,1.0935,0.34375413
114,0.9708,0.349990491
115,1.2712,0.362970776
116,0.987,0.349527715
117,0.9856,0.353675359
118,1.1202,0.358952831
119,0.963,0.351260441
120,0.9883,0.354353535
121,1.1178,0.377321542
122,1.0957,0.371596744
123,1.0505,0.356408696
124,1.064,0.350383775
125,1.1162,0.348737951
126,1.04,0.350201149
127,1.1329,0.351312887
128,1.0721,0.344761705
129,1.1691,0.35292776
130,1.2251,0.360677568
131,1.1293,0.35792611
132,1.1294,0.365351631
133,1.0677,0.359353533
134,1.0763,0.363834437
135,1.116,0.366603231
136,1.0528,0.36214765
137,1.0542,0.352416122
138,1.0748,0.34730892
139,1.175,0.345514376
140,1.2317,0.351269264
141,1.0358,0.330307784
142,1.0898,0.329916313
143,0.9072,0.322653471
144,1.0369,0.326510416
145,1.1484,0.328964866
146,1.1188,0.321087225
147,1.1488,0.318968306
148,1.1119,0.323300952
149,1.0797,0.321882558
150,0.9678,0.325979259
151,1.0433,0.326897613
152,0.8941,0.325785133
153,1.0193,0.32952451
154,1.0021,0.334383016
155,1.1548,0.337630729
156,0.9515,0.333944513
157,1.1453,0.333677034
158,1.0441,0.33583711
159,0.9224,0.32669619
160,1.2306,0.32393358
161,0.9012,0.326767856
162,0.9821,0.327864975
163,1.0374,0.327691669
164,1.1024,0.331693488
165,1.037,0.328853533
166,1.03,0.320130839
167,1.1582,0.32176753
168,1.1566,0.319611167
169,0.9786,0.321530448
170,1.1114,0.331702527
171,0.9264,0.340871433
172,1.0713,0.35105774
173,1.2264,0.363940911
174,0.8392,0.346875306
175,1.1555,0.363376375
176,1.1864,0.355884948
177,1.1183,0.358554104
178,0.9941,0.345177252
179,1.0253,0.354852068
180,0.9766,0.351520287
181,1.0833,0.351849592
182,1.0538,0.345300055
183,1.0836,0.361506176
184,0.9887,0.355364386
185,1.0772,0.369769685
186,1.1413,0.382638021
187,1.02,0.3714068
188,1.0449,0.358776032
189,1.0958,0.347560895
190,1.0632,0.340875678
191,1.1079,0.334648762
192,1.0225,0.341619425
193,1.1027,0.349371755
194,0.9547,0.334392139
195,1.0002,0.34550695
196,1.2014,0.344510138
197,1.0578,0.350150964
198,1.0749,0.341038484
199,1.0516,0.354770088
200,0.974,0.349212171
201,1.0808,0.347469616
202,0.9927,0.350963397
203,1.1107,0.348821252
204,1.0506,0.340933476
205,1.0498,0.332628882
206,1.0196,0.333731372
207,1.1026,0.348501324
208,1.1669,0.347489796
209,0.9531,0.341067838
210,0.9858,0.335108629
211,1.1593,0.327076868
212,1.1419,0.328515589
213,1.101,0.336341416
214,1.0723,0.345253412
215,1.0245,0.341810297
216,1.0957,0.343123683
217,1.1562,0.346488651
218,1.1604,0.336275454
219,0.903,0.32827712
220,1.0073,0.333826529
221,0.9672,0.319507203
222,0.9736,0.322611139
223,1.1446,0.330201945
224,0.9374,0.345606801
225,0.8865,0.338250153
226,1.0982,0.33508366
227,1.0619,0.332041972
228,0.9742,0.327295764
229,1.0345,0.318263254
230,1.1571,0.325002995
231,0.9848,0.331533722
232,1.0163,0.339216201
233,1.1192,0.327290464
234,1.0474,0.331096256
235,1.173,0.329040944
236,1.0036,0.3261124
237,0.9631,0.326336485
238,1.1823,0.34503101
239,1.1156,0.355833051
240,1.1278,0.372463326
241,1.0536,0.363247306
242,0.9868,0.368646532
243,0.997,0.3540596
244,0.9873,0.351354228
245,1.0204,0.352161453
246,0.9983,0.357910675
247,1.0154,0.346358795
248,0.9156,0.343798253
249,0.9591,0.348065756
250,1.0994,0.352314418
251,0.9756,0.325985663
252,1.0669,0.325113558
253,1.0509,0.328430157
254,0.9832,0.322082779
255,0.9893,0.324134801
256,1.054,0.32807409
257,0.996,0.333434074
258,1.0179,0.335740026
259,1.1828,0.350529148
260,1.0802,0.350363068
261,1.1219,0.35265475
262,0.9521,0.337197002
263,1.1428,0.334047088
264,1.1178,0.339710368
265,0.991,0.34069371
266,1.1163,0.334331017
267,0.9852,0.329645266
268,0.982,0.326074141
269,1.0663,0.332202734
270,1.0636,0.328674167
271,1.0057,0.321473051
272,0.9389,0.316949988
273,1.0475,0.322917118
274,1.042,0.325512399
275,1.2067,0.343510037
276,1.0557,0.346184269
277,1.1121,0.339729318
278,1.0718,0.334690358
279,1.1927,0.332445214
280,1.0176,0.326919418
281,1.0531,0.325091775
282,0.9013,0.325209185
283,1.1311,0.33930021
284,1.1187,0.344274309
285,1.0886,0.334137692
286,1.0033,0.338991462
287,1.1066,0.342213022
288,1.1331,0.343473464
289,0.9461,0.334874538
290,0.9011,0.332797379
291,1.038,0.331555561
292,1.1473,0.327102613
293,1.0729,0.320023829
294,1.0289,0.317169417
295,0.9702,0.297852723
296,0.9419,0.302730116
297,1.0218,0.30780335
298,1.0329,0.314635035
299,1.0726,0.320623207
300,0.9413,0.325127349
301,1.0251,0.331498831
302,1.1177,0.33221913
303,1.1261,0.334733722
304,0.974,0.326223515
305,1.0772,0.334682282
306,1.0082,0.335818614
307,1.0742,0.35114104
308,1.018,0.354750966
309,1.0712,0.361338339
310,1.038,0.364814926
311,1.078,0.37293156
312,1.0716,0.401011885
313,1.207,0.404678836
314,1.1507,0.401928383
315,1.1731,0.399872301
316,1.1383,0.411351203
317,1.2745,0.426364656
318,1.2337,0.434507046
319,1.1856,0.426286645
320,1.1782,0.415880525
321,1.0346,0.399223754
322,1.0771,0.417526062
323,1.2165,0.418697882
324,1.0775,0.423419276
325,1.089,0.44734043
326,1.1574,0.458697554
327,1.2134,0.475260495
328,1.2042,0.486253714
329,1.227,0.47265097
330,1.2238,0.464293009
331,1.2088,0.474243872
332,1.1767,0.484237213
333,1.1698,0.44963932
334,1.1871,0.455166312
335,1.2749,0.460599188
336,1.3953,0.458063588
337,1.3648,0.449244481
338,1.1318,0.419359796
339,1.1847,0.405221325
340,1.1722,0.395604546
341,1.3063,0.411946101
342,1.3176,0.414266085
343,1.1842,0.416816161
344,1.2044,0.424184154
345,1.1986,0.408899875
346,0.988,0.39009349
347,1.0538,0.374566945
348,1.132,0.385881258
349,1.2188,0.382910742
350,0.9905,0.364570233
351,1.0584,0.369725691
352,1.1669,0.370861479
353,1.2677,0.388071498
354,1.1581,0.396797914
355,1.0301,0.39385327
356,1.0599,0.403905005
357,1.3258,0.406958202
358,1.1978,0.406167451
359,1.2284,0.40332452
360,1.0395,0.392980412
361,1.1585,0.392012759
362,1.2366,0.379029195
363,1.3368,0.378668959
364,1.1233,0.375538733
365,1.0322,0.370444289
366,1.1376,0.367992745
367,1.1838,0.368695444
368,1.094,0.384769615
369,1.0761,0.385405967
370,1.1544,0.408349673
371,1.2462,0.420903517
372,1.1009,0.424613801
373,1.3194,0.431681403
374,1.2615,0.42320912
375,1.1617,0.399686862
376,1.1985,0.39136838
377,1.1547,0.384921645
378,1.1186,0.391268451
379,1.1024,0.39563543
380,1.3042,0.401358268
381,1.3168,0.397097977
382,1.1089,0.384435743
383,1.1157,0.376784517
384,1.04,0.378380756
385,1.258,0.400945724
386,1.1926,0.410126085
387,1.1333,0.408672597
388,1.2998,0.416969882
389,1.227,0.415995234
390,1.216,0.425737602
391,1.1925,0.401733061
392,1.1747,0.40828066
393,0.9881,0.413270521
394,1.1032,0.38789947
395,1.1589,0.382048812
396,1.0549,0.388595043
397,1.1709,0.395460739
398,1.2384,0.403281085
399,1.107,0.388929101
400,1.2172,0.392558412
401,1.1814,0.382253194
402,1.2335,0.374402733
403,1.0438,0.360450253
404,1.0803,0.379832943
405,1.2157,0.398581014
406,1.0163,0.386646378
407,1.0737,0.396084567
408,1.0638,0.401286443
409,1.2089,0.405359367
410,1.2136,0.40141755
411,1.1713,0.401496084
412,1.2025,0.402700489
413,0.9974,0.401529495
414,1.1459,0.411715631
415,1.1529,0.412578689
416,1.102,0.405840604
417,1.1679,0.39649413
418,1.1845,0.394493476
419,1.1551,0.387865192
420,1.2053,0.392207648
421,1.0267,0.402568735
422,1.0816,0.396809427
423,1.0827,0.394557643
424,1.2326,0.3980337
425,1.1006,0.387062448
426,1.1726,0.387827145
427,1.1811,0.386612099
428,1.2426,0.400741622
429,1.1176,0.393099347
430,1.1589,0.383365467
431,1.2376,0.383730053
432,1.022,0.396199896
433,1.039,0.392917853
434,1.075,0.384942373
435,1.072,0.389411064
436,1.086,0.391163082
437,1.1406,0.395107309
438,1.2805,0.395943119
439,1.1523,0.38956984
440,1.1784,0.38688514
441,1.1093,0.398941469
442,1.1524,0.396642577
443,1.1167,0.398959062
444,1.2198,0.417837259
445,1.1121,0.409031153
446,1.1943,0.409064971
447,1.1092,0.412664782
448,1.105,0.402040087
449,1.0834,0.401325964
450,1.1906,0.403633284
451,1.2237,0.400232485
452,1.1412,0.382588698
453,1.0197,0.376133448
454,1.0974,0.370557219
455,1.094,0.361271822
456,1.0767,0.350890523
457,1.0229,0.356790855
458,1.0965,0.358280761
459,0.9613,0.368214682
460,1.0313,0.380275443
461,1.1952,0.393584806
462,1.2035,0.387985513
463,1.0718,0.379585858
464,1.119,0.380528661
465,1.046,0.368684939
466,1.2613,0.391338941
467,1.208,0.406373416
468,1.119,0.410705034
469,1.1868,0.404471136
470,1.2912,0.416026252
471,1.0561,0.431438097
472,1.3065,0.454213791
